------------------------------------------------------------------------------------
导出信息：
姓名：马昊龙
支付宝账户：18625519578
起始时间：[2025-07-01 00:00:00]    终止时间：[2025-07-31 23:59:59]
导出交易类型：[全部]
导出时间：[2025-08-02 17:03:10]
共124笔记录
收入：32笔 203.25元
支出：32笔 504.56元
不计收支：60笔 9892.53元

特别提示：
1.本回单内容可表明支付宝受理了相应支付交易申请，因系统原因或通讯故障等偶发因素导致本回单与实际交易结果不符时，以实际交易情况为准；
2.请勿将本回单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作；
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本回单进行重复记账；
4.本回单如经任何涂改、编造，均立即失去效力；
5.部分账单如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.因统计逻辑不同，明细金额直接累加后，可能会和下方统计金额不一致，请以实际交易金额为准；
7.禁止将本回单用于非法用途；
8.本明细仅展示当前账单中的交易，不包括已删除的记录；
9.本明细仅供个人对账使用。

------------------------支付宝（中国）网络技术有限公司  电子客户回单------------------------
交易时间,交易分类,交易对方,对方账号,商品说明,收/支,金额,收/付款方式,交易状态,交易订单号,商家订单号,备注,
2025-07-31 11:31:29,投资理财,余额宝,mar***@hffunds.cn,余额宝-自动转入,不计收支,0.23,账户余额,交易成功,20250731019130101000740060298648	,20250731009130501000740033553475	,,
2025-07-31 08:55:30,转账红包,淘宝（中国）软件有限公司,/,淘宝签到提现,收入,0.13,,交易成功,20250731020070011520740073192749	,FP301_7094640164520474	,,
2025-07-31 08:43:17,转账红包,广州吱驿网络技术有限公司,/,玩赚支付宝-现金奖励,收入,0.10,,交易成功,20250731110070001506740095534338	,20250731002161010000748034020630_PZ1529125038	,,
2025-07-30 22:19:08,转账红包,陈振豪(**豪),134******21,转账,支出,100.00,余额宝,交易成功,20250730200040011100740068508947	,	,,
2025-07-30 18:46:22,日用百货,新郑市易而购百货超市,/,易而购生活超市店内购物,支出,1.95,花呗&红包,交易成功,2025073022001428741454313678	,531266000048200000802025073043444369	,,
2025-07-30 10:13:29,投资理财,余额宝,mar***@hffunds.cn,余额宝-自动转入,不计收支,0.10,账户余额,交易成功,20250730019130101000740059197003	,20250730009130501000740033149961	,,
2025-07-29 20:38:27,文化休闲,惠民健康售水站,/,惠民健康售水站扫码收款,支出,1.46,花呗&红包,交易成功,2025072922001428741449859688	,04126600004822000020250729110113230266201917612986	,,
2025-07-29 15:26:06,转账红包,淘宝（中国）软件有限公司,/,淘宝签到提现,收入,0.10,,交易成功,20250729020070011550740063069616	,FP301_7086703771860474	,,
2025-07-29 11:33:30,投资理财,余额宝,mar***@hffunds.cn,余额宝-自动转入,不计收支,0.16,账户余额,交易成功,20250729019130101000740058491215	,20250729009130501000740032657866	,,
2025-07-29 08:42:51,转账红包,芝麻信用,zx2***@service.aliyun.com,现金红包-来自芝麻信用,收入,0.10,账户余额,交易成功,20250729200040011100740067987974	,202507290206383119775615740039267629S	,,
2025-07-29 08:41:36,转账红包,多多有礼,zx2***@service.aliyun.com,现金红包-来自多多有礼,收入,0.06,账户余额,交易成功,20250729200040011100740068000305	,202507290206383115588140740039286932S	,,
2025-07-28 15:25:40,退款,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-广发全球医疗保健指数(QDII)A-买入退款,不计收支,100.00,余额宝,交易成功,20250724001080012204740051319576	,20250728001080100004740069464000	,,
2025-07-28 11:21:28,投资理财,余额宝,mar***@hffunds.cn,余额宝-自动转入,不计收支,0.10,账户余额,交易成功,20250728019130101000740057824876	,20250728009130501000740032221836	,,
2025-07-28 08:38:33,转账红包,芝麻信用,zx2***@service.aliyun.com,现金红包-来自芝麻信用,收入,0.10,账户余额,交易成功,20250728200040011100740067476209	,202507280206383111150084740039218937S	,,
2025-07-28 07:36:32,餐饮美食,清真王记胡辣汤,132******68,收钱码收款,支出,2.96,花呗&红包,交易成功,2025072822001428741441612040	,17536593902932597228740	,,
2025-07-25 13:34:44,餐饮美食,农夫果源,/,新郑市陶文路农夫果源农产品销售店（个体工商户）,支出,18.57,花呗&红包,交易成功,2025072522001428741430215019	,9712660000489000008000804053425206	,,
2025-07-25 13:27:17,日用百货,佳门口生活超市,/,条码支付-总部-686974528888032507251327127356,支出,2.76,花呗&红包,交易成功,2025072522001428741431257156	,7112660000489000000000920682125206	,,
2025-07-24 18:41:46,日用百货,佳门口生活超市,/,条码支付-总部-686974528888032507241841434578,支出,2.62,花呗&红包,交易成功,2025072422001428741431138044	,0612660000489000000001512682125205	,,
2025-07-24 14:20:07,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-广发全球医疗保健指数(QDII)A-买入,不计收支,100.00,中国银行储蓄卡(1285),交易成功,20250724001080012204740051319576	,	,,
2025-07-24 11:43:19,投资理财,余额宝,mar***@hffunds.cn,余额宝-自动转入,不计收支,0.14,账户余额,交易成功,20250724019130101000740054589347	,20250724009130501000740029249365	,,
2025-07-24 08:59:20,转账红包,淘宝（中国）软件有限公司,/,淘宝签到提现,收入,0.14,,交易成功,20250724020070011520740025168549	,FP301_7058369221510474	,,
2025-07-23 11:44:11,投资理财,余额宝,mar***@hffunds.cn,余额宝-自动转入,不计收支,0.13,账户余额,交易成功,20250723019130101000740054117532	,20250723009130501000740028639578	,,
2025-07-23 09:06:18,转账红包,淘宝（中国）软件有限公司,/,淘宝签到提现,收入,0.13,,交易成功,20250723020070011520740018353016	,FP301_7055385967340474	,,
2025-07-22 11:20:10,投资理财,余额宝,mar***@hffunds.cn,余额宝-自动转入,不计收支,0.13,账户余额,交易成功,20250722019130101000740053032132	,20250722009130501000740028036558	,,
2025-07-22 08:58:30,转账红包,淘宝（中国）软件有限公司,/,淘宝签到提现,收入,0.13,,交易成功,20250722020070011520740011344082	,FP301_7048701884560474	,,
2025-07-21 13:27:56,信用借还,花呗,/,花呗主动还款-2025年07月账单,不计收支,345.49,余额宝&花呗金,还款成功,2025072129020999740143983237	,	,,
2025-07-21 13:27:36,信用借还,花呗,/,花呗主动还款,不计收支,346.05,,还款失败,2025072129020999740146688768	,	,,
2025-07-21 13:27:11,投资理财,余额宝,mar***@hffunds.cn,余额宝-单次转入,不计收支,1.00,中国银行储蓄卡(1285),交易成功,20250721019130100010740052386531	,LC2025072113271120889325972287408107	,,
2025-07-21 13:26:15,投资理财,余额宝,mar***@hffunds.cn,余额宝-单次转入,不计收支,138.52,中国银行储蓄卡(1285),交易成功,20250721019130100010740051996078	,LC2025072113261520889325972287401560	,,
2025-07-21 13:25:34,信用借还,花呗,/,花呗主动还款,不计收支,346.05,,还款失败,2025072129020999740145194078	,	,,
2025-07-21 07:21:46,投资理财,余额宝,mar***@hffunds.cn,余额宝-单次转入,不计收支,0.14,账户余额,交易成功,20250721019130100010740051889147	,LC2025072107214620889325972287404356	,,
